iter	Passed	Remaining
0	48	48833
1	49	24793
2	50	16856
3	51	12829
4	52	10412
5	53	8799
6	54	7664
7	54	6797
8	55	6123
9	56	5585
10	57	5150
11	58	4786
12	58	4475
13	59	4209
14	60	3977
15	61	3789
16	62	3614
17	63	3460
18	64	3312
19	65	3189
20	65	3069
21	66	2960
22	67	2860
23	68	2770
24	68	2685
25	69	2605
26	70	2532
27	70	2464
28	71	2399
29	72	2345
30	73	2290
31	74	2238
32	74	2189
33	75	2144
34	76	2101
35	77	2076
36	78	2041
37	79	2006
38	80	1972
39	80	1938
40	81	1907
41	82	1877
42	83	1849
43	84	1826
44	84	1800
45	85	1773
46	86	1754
47	87	1731
48	88	1709
49	88	1688
50	89	1666
51	90	1644
52	90	1621
53	91	1600
54	91	1579
55	92	1565
56	93	1547
57	94	1530
58	94	1514
59	95	1496
60	96	1479
61	96	1460
62	97	1443
63	97	1425
64	97	1409
65	98	1393
66	98	1377
67	99	1361
68	99	1346
69	100	1332
70	100	1318
71	101	1305
72	101	1291
73	102	1278
74	102	1265
75	102	1251
76	103	1238
77	103	1225
78	104	1213
79	104	1200
80	104	1189
81	105	1177
82	105	1164
83	105	1153
84	106	1142
85	106	1132
86	106	1122
87	107	1112
88	107	1102
89	108	1093
90	108	1083
91	108	1075
92	109	1065
93	109	1055
94	109	1046
95	110	1037
96	110	1028
97	110	1019
98	111	1010
99	111	1001
100	111	993
101	111	985
102	112	977
103	112	969
104	112	961
105	113	954
106	113	946
107	113	939
108	114	932
109	114	924
110	115	921
111	115	915
112	115	908
113	116	902
114	116	896
115	116	889
116	117	883
117	117	876
118	117	870
119	117	864
120	118	858
121	118	852
122	118	846
123	118	840
124	119	835
125	119	829
126	119	823
127	120	818
128	120	813
129	120	807
130	121	802
131	121	797
132	121	792
133	121	787
134	122	783
135	122	779
136	123	776
137	123	772
138	123	767
139	124	763
140	124	758
141	124	754
142	125	749
143	125	745
144	125	741
145	126	737
146	126	733
147	126	729
148	127	725
149	127	721
150	127	717
151	127	713
152	128	710
153	128	706
154	128	702
155	129	699
156	129	695
157	129	691
158	130	688
159	130	685
160	130	681
161	130	677
162	131	674
163	131	670
